Odometer,Fuel Price,Fuel Amount,Date and Time,Total Price,MPG
400,1.397,24.83,23/05/13-08:47,34.69,0.0
700,1.429,30.28,23/05/24-08:47,43.27,1.0
1094,1.429,29.88,23/06/01-08:47,42.7,2.0
1490,1.399,29.16,23/06/14-08:47,40.79,3.0
1903,1.389,30.08,23/06/20-08:47,41.78,4.0
2328,1.459,13.71,23/06/28-08:47,20.0,5.0
2513,1.568,29.82,23/07/05-08:47,46.76,6.0
2887,1.469,20.49,23/07/08-08:47,30.1,7.0
2958,1.359,12.76,23/07/09-08:47,17.34,8.0
3415,1.379,33.4,23/07/19-08:47,46.06,9.0
3852,1.369,30.27,23/08/05-08:47,41.44,10.0
4245,1.512,28.34,23/08/05-08:47,42.85,11.0
4552,1.429,21.34,23/08/29-08:47,30.49,12.0
4872,1.459,24.13,23/09/10-08:47,35.21,13.0
5270,1.499,30.0,23/09/17-08:47,44.97,14.0
5711,1.519,33.65,23/10/03-08:47,51.11,15.0
5984,1.479,20.85,23/10/08-08:47,30.84,16.0
6365,1.467,30.29,23/10/21-08:47,44.44,17.0
6738,1.559,29.22,23/11/01-08:47,45.55,18.0
7002,1.439,22.69,23/11/12-08:47,32.65,19.0
7376,1.527,28.36,23/11/23-08:47,43.31,20.0
7581,1.407,20.4,23/12/03-08:47,28.7,21.0
7947,1.499,30.1,23/12/13-08:47,45.12,22.0
8534,1.359,27.8,24/01/07-08:47,37.78,23.0
8749,1.339,18.87,24/01/14-08:47,25.27,24.0
9061,1.349,26.23,24/02/11-08:47,35.38,25.0
9432,1.379,26.35,24/02/25-08:47,36.34,26.0
9793,1.469,28.31,24/03/09-08:47,41.59,27.0
10184,1.449,30.25,24/03/14-08:47,43.83,28.0
10567,1.446,29.0,24/04/03-08:47,41.93,29.0
10935,1.419,29.22,24/04/14-08:47,41.46,30.0
11476,1.489,29.25,24/04/27-08:47,43.55,31.0
11892,1.477,31.78,24/05/08-08:47,46.94,32.0
12338,1.459,30.33,24/05/19-08:47,44.25,33.0
12754,1.439,6.95,24/05/31-08:47,10.0,34.0
13140,1.429,30.59,24/06/10-08:47,43.71,35.0
13583,1.459,31.67,24/06/21-08:47,46.21,36.0
13932,1.387,24.9,24/07/01-08:47,34.54,37.0
14321,1.479,29.6,24/07/16-12:13,43.778400000000005,30.0
14773,1.429,32.63,24/07/25-12:05,46.62827000000001,30.0
